Insulation_Rating,Outdoor_Temp,Num_Occupants,Home_Age,Home_Size
6,86,7,49,2970
7,71,9,22,5541
5,75,1,52,5678
9,66,4,47,1386
2,67,3,41,3874
7,80,6,25,5914
8,64,1,16,2478
4,87,6,48,7045
7,75,8,49,4018
6,44,5,33,3480
7,44,10,26,4705
10,51,10,53,5897
2,75,3,52,2563
7,81,10,25,3692
2,54,4,17,527
7,82,2,31,6788
2,65,2,31,1323
9,67,3,51,4089
3,38,6,50,4784
9,83,1,48,1946
5,52,5,47,1258
10,76,3,48,5882
7,69,5,41,4318
3,76,8,21,3240
3,61,5,53,3349
2,55,1,45,2822
2,43,7,49,2393
2,49,5,41,6506
6,52,3,61,2509
5,38,1,54,7072
4,76,4,53,5729
6,86,10,24,4244
5,58,10,60,3305
3,83,1,53,1479
9,41,10,31,691
2,57,1,47,3173
5,44,8,41,6372
10,87,2,53,627
5,89,1,17,1984
10,53,3,47,6242
6,82,2,55,2103
8,39,8,50,6183
6,75,9,44,3150
9,62,1,48,6601
3,54,8,49,952
5,75,3,46,3151
9,41,8,17,2328
7,87,4,59,6239
3,84,3,59,3900
3,76,8,25,5784
3,61,10,45,2225
6,42,7,49,5321
6,74,6,37,7027
8,67,2,27,548
3,40,4,24,5120
3,65,1,51,5852
5,88,8,47,3687
2,74,3,50,3233
2,88,9,35,2876
5,67,3,35,4136
10,48,10,51,879
10,68,10,52,6172
7,43,3,56,3167
2,66,4,19,3871
10,66,7,48,5430
3,74,5,47,6795
2,57,2,44,1685
6,47,6,22,6229
6,79,4,52,5242
9,77,10,23,3699
8,40,7,44,1722
9,75,7,29,3927
4,48,4,59,3116
6,63,5,16,5477
4,78,9,52,1021
9,73,3,42,2567
5,86,3,35,3067
7,75,4,53,5653
7,46,7,31,715
10,52,2,30,4010
9,42,2,34,6160
9,76,7,42,3485
5,61,4,29,4670
6,40,6,47,4602
3,62,6,33,2943
8,62,8,32,6523
2,51,10,42,5551
6,60,4,38,3835
5,64,2,22,6093
3,63,2,58,631
4,89,4,59,1802
7,87,1,37,5285
10,60,10,45,590
5,53,1,50,879
5,50,6,22,958
4,71,3,37,1957
2,69,1,32,5788
3,40,10,34,3824
6,38,7,49,6864
6,57,2,50,1502
7,44,1,54,6326
2,70,4,36,3731
8,57,4,52,3986
7,41,10,41,3070
6,47,4,54,2744
9,90,2,52,1269
9,82,4,58,1431
3,42,3,46,4388
10,78,5,51,2279
3,40,4,53,1506
10,65,10,60,6822
5,42,8,21,1864
9,77,1,32,6433
9,72,8,53,2766
2,69,8,40,603
4,69,1,52,6159
7,62,3,40,751
4,61,9,18,1332
10,41,8,35,5829
8,79,8,16,1105
2,76,10,41,2041
2,64,7,53,1268
10,41,4,58,3891
5,69,4,49,2725
8,55,10,54,4577
8,57,8,30,1038
4,86,10,59,6375
6,45,5,49,3161
2,54,1,54,6157
9,75,1,21,974
10,90,6,60,3655
7,58,4,28,4310
5,79,3,52,3491
9,67,4,52,1107
2,86,8,54,2254
2,49,8,55,2580
9,80,8,35,2751
4,61,4,50,576
7,38,2,51,1592
5,65,2,30,1572
4,66,6,50,2559
5,61,2,16,5837
9,77,9,15,4818
9,57,2,20,6865
7,50,4,28,2859
10,47,6,30,1150
7,58,3,46,5954
8,48,9,60,6683
3,78,1,29,2242
9,84,10,53,4772
9,44,5,24,986
10,38,10,33,828
10,44,10,43,3070
7,39,2,59,2799
2,44,1,44,6506
7,43,8,15,6294
9,89,6,17,3410
2,82,3,51,1350
7,38,7,46,2633
4,64,5,23,6614
8,68,5,36,692
8,62,9,45,4119
9,58,4,32,1127
10,68,9,47,3627
7,90,2,53,5830
9,56,2,54,3189
3,86,7,50,6541
4,63,5,61,1880
3,56,4,38,3773
5,58,2,48,1742
7,40,7,58,2897
7,51,2,36,715
2,49,10,29,3284
6,44,1,49,4455
10,39,2,21,3979
2,39,9,52,2001
3,75,3,52,688
9,61,10,32,4647
10,66,6,45,998
6,55,1,46,2642
10,69,4,43,4079
6,82,7,16,2628
4,74,2,52,5922
9,54,4,36,6930
9,77,4,47,3286
2,77,7,58,615
2,79,2,15,6909
2,62,1,60,4571
7,39,6,22,5461
6,76,8,50,1746
7,87,5,49,3928
6,61,10,33,4798
8,77,1,18,6731
7,58,9,53,4215
8,41,4,52,6078
3,59,7,52,4950
4,89,5,47,6836
8,59,6,60,3169
10,69,3,48,3600
2,44,8,39,738
9,83,8,18,1452
7,55,7,31,4199
6,40,4,20,6481
10,57,1,32,4198
10,84,10,59,5915
2,47,6,32,4239
4,86,5,55,4150
7,51,9,20,4432
8,39,6,19,4004
10,73,5,35,2474
9,45,5,20,4842
4,57,10,61,3326
7,75,6,41,3385
4,65,7,47,6795
6,82,10,24,5640
7,72,9,56,6121
2,80,7,46,4212
8,59,3,43,1243
10,41,9,53,2048
10,41,6,44,4226
5,72,9,20,2128
2,47,5,19,2995
10,49,4,42,4506
9,71,6,55,2463
5,54,10,58,661
3,72,8,19,5134
8,87,9,41,3349
3,68,4,37,5540
4,55,6,57,4720
2,63,4,59,3311
9,64,8,37,4810
6,39,7,54,969
3,75,9,23,4189
4,49,8,23,513
5,70,6,49,5063
4,59,7,45,6691
9,71,7,30,4099
9,47,4,32,6096
2,89,5,18,3505
2,39,2,31,4484
8,41,3,50,6917
4,74,3,26,1175
6,41,4,49,6438
8,89,5,50,6673
2,65,2,29,5467
8,55,10,18,3056
3,82,3,57,1028
7,61,3,55,6480
3,50,9,29,2636
4,80,8,15,496
9,66,10,18,787
10,66,3,38,4577
5,70,6,45,6856
2,54,1,51,683
10,45,4,23,6628
3,43,10,31,2133
2,54,1,53,3931
9,74,7,59,5155
3,67,1,31,4437
3,69,9,59,2697
3,64,6,41,3888
3,53,6,47,3836
6,43,3,49,5218
6,50,7,39,6632
10,50,10,54,3109
7,56,2,53,3083
7,84,2,33,4067
4,57,8,44,2590
4,79,10,46,1165
10,54,3,51,2405
6,42,1,61,1499
10,69,7,57,2993
6,58,7,58,6109
5,79,8,17,5627
3,52,5,36,2559
4,48,3,46,4746
6,68,1,55,2805
9,88,4,47,1923
3,53,7,54,564
6,77,3,22,6206
8,57,7,40,6690
10,39,10,55,913
9,50,10,45,2957
7,88,1,57,1439
6,66,3,33,6564
8,90,8,46,1581
8,86,2,61,3311
6,46,2,27,2624
7,76,10,51,4221
2,86,4,41,2176
8,78,3,56,5304
4,39,10,60,568
5,43,9,46,6741
6,40,2,48,1147
7,64,7,50,5272
3,48,4,30,2908
3,61,5,50,3809
4,41,2,17,702
9,50,9,50,1355
2,52,4,30,3771
2,46,5,47,5709
2,52,9,58,6548
6,83,7,53,3612
5,68,4,19,759
7,82,7,52,5603
6,58,3,59,1239
5,85,8,29,5528
2,46,5,33,6775
8,79,7,48,4484
9,85,8,47,4318
2,57,3,34,6867
3,71,1,43,3677
10,48,3,55,6718
8,61,6,19,5665
7,83,9,44,4381
10,68,8,43,694
2,90,3,30,6242
5,73,5,51,1296
2,40,5,21,3934
7,48,10,45,3869
4,83,7,54,5172
4,69,4,32,759
8,63,8,34,3751
6,42,5,45,4690
9,61,10,35,2267
9,51,7,46,6176
2,89,5,48,6235
10,42,7,30,1923
9,57,7,52,746
2,71,6,24,3416
2,80,10,31,1259
3,44,8,54,2536
3,46,1,36,1883
8,46,3,56,2978
4,82,9,50,518
9,42,1,53,531
6,81,2,32,3158
9,58,5,26,6067
3,52,2,35,5346
4,62,3,20,5553
4,66,2,19,1268
5,48,1,53,1398
9,64,9,45,1080
9,46,9,44,5171
9,59,4,47,3958
5,49,8,20,1697
10,53,2,19,3734
6,62,5,47,4534
6,75,10,59,5892
4,75,8,33,1623
8,83,10,44,3004
5,63,3,45,3047
3,42,7,22,968
6,48,7,56,6629
3,84,5,37,6125
8,42,9,42,5751
6,54,1,40,2738
10,46,9,38,3184
5,61,6,39,2488
10,70,10,59,6615
6,70,6,54,2893
2,66,7,41,3131
7,41,4,20,7039
10,71,2,48,4344
3,90,4,16,1778
10,48,10,55,784
9,80,5,26,2400
6,87,10,17,2147
6,58,3,52,3398
10,67,3,53,4719
8,71,1,44,2102
5,87,7,29,1867
9,57,6,23,729
3,59,6,38,4036
4,70,9,58,6827
8,40,8,43,6638
4,50,9,52,6796
9,72,5,28,1997
3,81,8,26,6646
4,70,7,35,3094
3,70,4,51,2283
6,45,10,46,1648
10,76,1,51,1958
6,88,1,42,2979
6,47,4,31,6757
8,67,8,42,4259
6,63,2,60,707
10,90,8,33,644
3,48,4,37,5216
3,77,10,52,2916
2,71,3,28,4345
6,88,8,37,5043
8,53,2,55,5516
10,88,7,25,4109
7,76,9,24,4139
4,51,7,51,2839
8,49,4,42,4317
8,55,9,57,3942
4,67,10,52,6447
10,63,3,43,4046
10,55,1,43,626
10,49,4,15,3422
8,48,4,30,1709
6,62,2,30,6005
7,84,2,52,1580
3,60,9,33,4706
3,77,9,57,3932
8,85,9,49,4114
6,40,2,59,4773
8,48,10,51,3869
6,89,8,32,736
8,49,4,38,4001
3,63,10,31,3471
9,81,4,25,4325
6,46,1,58,4918
10,62,8,59,4049
8,55,9,47,892
5,64,6,27,4459
9,46,10,50,6575
7,47,4,49,6336
9,86,7,54,5717
8,46,10,28,5386
2,60,3,24,3732
8,85,7,53,3905
8,63,1,48,4212
3,65,6,55,4049
4,68,9,46,493
7,90,9,55,7350
10,53,3,24,5215
9,79,4,32,4275
2,73,7,23,2926
4,76,8,41,2510
8,84,10,32,5571
8,62,5,47,5975
3,49,4,42,2514
2,76,1,53,2634
6,65,7,20,575
3,69,1,37,6105
2,76,4,55,4860
4,87,5,49,2228
8,86,8,36,3429
6,66,3,23,6735
9,63,4,42,6208
8,66,9,47,1484
10,85,1,53,6892
8,83,4,43,4464
6,39,6,27,3654
8,79,2,54,3461
7,77,6,23,3054
9,82,7,54,1683
6,68,6,58,6622
2,54,4,40,2316
4,38,3,60,2595
8,46,7,50,5004
7,71,9,60,5786
5,89,4,46,2582
8,42,9,15,961
9,85,5,41,3142
2,70,2,43,3335
7,64,3,46,6477
9,49,7,24,3348
3,79,5,53,6578
3,84,2,31,605
3,77,6,15,3525
2,42,2,17,6598
7,69,6,25,2170
4,50,1,47,6605
3,51,6,47,6997
5,67,4,49,791
7,81,4,57,4996
3,84,9,45,1488
8,62,5,53,2109
10,43,2,52,3932
9,58,4,40,1505
6,60,7,35,496
3,61,2,26,2889
7,51,5,52,5142
4,85,7,53,2008
6,87,7,17,6588
9,65,9,28,1228
10,45,3,29,1232
6,77,10,47,4051
10,67,8,36,5919
8,65,9,15,2545
4,82,9,42,4013
4,79,7,32,2494
5,87,4,28,1362
2,39,6,53,5804
8,88,7,57,2862
4,76,10,34,6620
3,77,1,22,624
5,89,1,24,2384
2,65,5,17,5051
10,42,4,30,5187
2,50,10,55,1687
4,40,7,50,2136
2,40,1,44,934
3,55,10,61,798
8,87,10,46,1441
8,72,5,56,4735
8,80,4,59,818
7,81,4,56,3741
6,77,7,52,3502
2,39,1,52,3790
2,52,4,25,741
8,43,4,61,1215
7,55,2,31,4063
8,81,8,41,3079
2,65,8,57,4125
9,52,5,37,3528
7,62,9,40,6554
8,64,2,46,3431
8,81,9,50,583
8,86,6,48,2229
9,43,2,19,4154
9,54,5,47,4407
10,52,10,56,3377
5,45,2,52,3560
10,84,4,37,1770
6,78,7,55,1808
10,64,9,56,3420
6,50,9,49,2533
7,61,2,21,3005
7,90,9,23,1756
5,76,9,60,4691
8,52,5,52,1467
3,61,7,19,6835
10,73,6,54,6275
4,83,4,40,3831
7,57,7,52,4894
9,61,7,50,6392
4,84,2,57,1853
8,70,7,57,624
5,66,1,21,5992
10,56,10,39,6204
6,62,4,48,766
9,59,2,56,2460
10,86,4,39,4144
4,65,9,58,2563
4,49,6,42,634
8,49,7,43,4172
3,62,9,52,3462
9,85,4,26,2946
6,45,10,22,1285
6,77,3,61,6232
9,54,4,60,3555
7,60,7,18,1647
7,76,10,42,2461
10,57,1,22,5192
7,63,6,57,5727
6,56,5,57,1695
10,45,5,51,1784
6,90,4,50,6996
10,89,8,37,3743
6,67,5,52,2903
8,55,5,61,4673
2,76,7,56,534
3,87,9,37,3503
6,86,1,55,2862
9,65,2,54,1419
6,77,10,61,4658
7,43,5,47,6055
7,75,10,56,4378
10,64,1,33,6532
9,41,9,51,5388
4,47,9,55,2425
4,58,4,54,2839
7,80,3,16,1728
4,83,1,33,2873
3,68,6,41,4704
5,78,1,43,3630
5,81,1,17,4562
4,54,9,24,3315
7,49,8,55,2632
5,55,6,55,2944
2,43,9,25,3095
6,67,8,53,757
6,76,9,50,1424
3,54,6,45,734
8,77,9,38,3523
7,81,2,45,3604
2,78,7,58,6940
7,75,10,35,561
4,46,4,41,1586
8,44,3,50,3464
9,48,8,43,3562
9,68,8,28,4409
4,53,2,27,4182
3,61,4,45,1957
10,87,1,48,4432
7,48,8,59,3869
3,56,3,45,1189
3,73,10,61,4279
4,61,10,22,5417
7,38,6,60,6484
7,90,8,44,3301
6,46,4,60,2469
10,82,6,19,5383
6,69,1,51,5115
9,84,8,36,3982
9,58,6,52,6059
5,60,4,58,6980
7,71,6,35,493
5,61,4,55,5549
10,83,1,52,5469
6,71,2,46,6820
5,45,2,57,5524
2,65,6,47,2006
10,48,9,44,4081
2,79,4,40,702
5,65,5,38,1145
2,66,5,45,876
10,71,3,55,6740
2,83,6,32,6383
3,86,5,48,5213
3,69,7,35,3013
9,85,6,51,3145
2,70,5,15,2748
10,70,9,28,5492
10,45,7,34,4754
8,41,4,38,6101
2,46,7,41,3679
9,74,1,55,654
7,38,8,55,657
3,76,2,47,2722
9,46,9,27,5190
7,76,5,41,3879
8,79,2,56,3984
2,74,5,48,5366
8,78,10,53,1257
3,85,5,39,3973
2,64,5,18,3502
6,39,1,19,1260
9,82,9,50,2534
2,43,9,54,4976
10,63,9,22,2263
9,40,7,53,1721
7,79,3,51,1272
6,83,8,19,1940
7,79,9,61,4281
8,86,1,29,1846
10,52,6,59,1471
2,42,4,21,5318
8,81,6,61,3329
2,79,4,35,5641
10,84,8,27,2761
10,56,9,28,5553
5,77,9,50,1898
9,63,7,53,5964
9,53,7,55,5725
3,40,10,45,3810
9,84,5,26,3939
4,47,2,48,4347
9,45,7,34,4609
5,77,6,40,3683
9,38,4,27,761
5,51,1,25,3777
7,46,7,51,1714
9,42,8,50,4307
7,82,8,20,574
3,69,1,45,731
3,48,8,53,4258
8,80,5,48,6144
7,82,5,29,5497
7,87,4,49,2831
5,60,7,39,505
7,67,5,25,4225
8,77,5,17,6318
4,84,9,56,5500
8,47,1,46,789
5,62,8,46,5969
7,89,5,44,3137
7,54,3,58,736
2,61,7,42,1554
6,78,5,26,671
3,61,4,19,6728
9,48,3,32,3452
4,77,6,44,1777
8,65,1,21,6728
9,40,2,49,4130
7,46,3,28,5637
8,73,8,45,3433
6,45,10,25,3690
5,78,1,40,5408
3,71,3,18,4866
9,52,10,45,2752
9,76,1,49,5746
2,63,9,17,3676
6,82,8,44,2982
2,72,3,56,1014
9,63,8,24,4212
5,85,8,33,607
3,40,6,21,575
5,42,1,47,6096
4,64,5,28,3234
10,44,8,27,3546
6,81,5,61,5497
2,70,7,55,6326
9,58,9,57,684
4,72,7,41,505
10,45,4,47,3359
6,42,4,51,6492
3,68,1,28,2764
4,89,6,52,3715
10,59,6,54,4921
10,47,1,58,3255
8,60,4,46,2495
6,51,9,23,6980
2,81,7,44,4629
4,80,3,22,7031
9,73,10,50,609
7,87,3,60,1534
10,41,9,30,1840
7,44,5,51,5865
7,81,3,42,6217
3,51,6,56,1039
9,39,7,16,1194
10,60,6,30,6826
2,77,4,28,6145
9,38,5,32,1068
2,72,6,32,4648
3,72,1,38,1817
10,79,5,21,5028
6,48,6,39,3666
9,70,10,26,6836
6,79,5,59,3783
10,79,9,36,5986
4,58,6,37,2376
10,59,1,52,3021
9,38,10,44,5946
2,60,6,52,1043
8,40,6,20,4293
8,84,6,24,2798
7,70,4,27,2370
10,89,2,53,2724
2,42,8,57,2764
9,66,5,49,5123
5,90,7,55,673
2,64,5,39,4277
6,86,1,36,693
8,51,5,39,2348
4,65,2,16,4868
2,90,2,59,3211
5,76,2,52,5208
6,84,4,32,3224
5,76,5,56,3298
2,53,1,24,5867
10,65,7,50,785
2,72,8,56,1963
3,63,7,34,4236
6,42,4,20,615
2,49,7,48,4858
8,79,6,45,6338
6,40,4,30,3044
7,46,2,56,6173
5,42,2,59,5829
2,67,6,44,4747
8,85,8,49,1740
6,83,8,47,652
6,38,8,42,3184
6,58,8,55,1133
6,68,3,47,5085
5,71,9,35,5003
10,75,4,34,1170
7,69,2,16,3930
4,77,2,60,2274
6,59,2,24,1073
7,70,9,16,6137
9,68,7,36,2629
10,45,1,21,6513
7,65,2,54,4423
5,49,1,59,1936
7,69,1,50,3431
6,88,3,40,5834
10,68,9,16,2060
2,86,10,51,5516
9,56,7,18,5028
2,59,10,49,7060
7,45,1,16,2063
9,53,7,26,6097
2,52,7,57,5739
6,59,8,44,5758
7,87,4,17,3058
8,74,9,20,4107
5,90,9,28,2329
3,64,3,31,4045
8,64,2,30,6374
8,89,9,16,5353
3,62,1,25,1446
4,56,1,22,5250
7,73,4,26,1768
4,83,6,60,498
2,84,4,46,1545
9,70,8,51,5739
7,78,7,22,3305
3,48,1,59,1997
7,80,7,44,6809
10,65,3,59,3576
9,53,2,49,3375
6,48,5,49,2701
3,42,9,26,4770
6,82,4,35,6571
9,59,3,23,4029
10,55,7,44,5565
9,56,10,40,6956
6,50,3,61,2378
5,62,6,34,2205
9,54,3,36,3427
8,81,2,60,2185
5,71,10,50,1279
5,89,10,21,2558
4,76,8,19,2156
10,49,8,47,6758
2,69,5,35,3283
2,51,8,46,724
7,55,6,25,1036
5,46,7,53,4053
5,90,1,60,6258
8,69,10,54,602
7,60,6,55,6459
4,61,10,45,4589
3,38,7,46,4555
6,85,3,50,4861
5,49,8,61,3289
8,58,5,48,1922
10,67,6,29,1616
6,76,8,60,2799
2,78,1,28,6743
3,65,1,59,3479
6,65,9,53,738
8,76,10,40,6814
9,90,9,45,5740
9,68,5,61,3875
3,75,5,32,6289
2,39,1,45,688
7,77,4,28,4065
3,72,3,29,1669
4,65,6,23,786
7,87,7,56,3498
10,66,6,57,3050
4,49,2,30,5162
6,38,2,52,5994
4,70,3,53,854
7,47,2,59,7080
3,77,6,50,1581
4,82,1,47,1524
5,64,4,29,1754
10,70,5,50,3193
3,39,3,24,5863
4,43,10,53,6493
8,65,7,36,600
6,70,7,60,625
7,61,4,59,3325
5,43,4,16,5439
5,83,10,49,1424
5,78,6,55,1532
10,84,7,51,640
4,66,10,55,4453
10,48,8,51,2943
5,76,1,56,5414
2,65,9,23,6521
7,86,10,34,3688
7,64,8,47,4732
9,78,2,41,4992
10,67,9,24,6476
8,61,10,19,3953
2,81,2,28,1817
3,80,7,49,695
2,40,2,45,6375
9,65,6,54,3854
7,62,2,32,1331
7,60,5,46,2060
2,86,9,29,3376
2,61,8,24,2424
3,84,3,47,4673
2,65,3,47,1495
5,82,3,25,3989
9,58,8,47,6550
8,51,6,39,3167
2,49,2,52,617
7,66,4,22,6914
10,63,8,51,4332
10,77,8,48,5204
8,69,7,60,5095
6,44,7,41,6890
4,80,4,54,2904
4,41,4,55,6906
6,60,9,57,6115
5,88,3,33,7060
6,48,2,54,6716
8,76,4,53,3006
7,65,2,29,6512
10,65,4,41,5885
10,46,6,27,2174
8,39,7,46,1733
6,82,1,49,4345
4,47,10,54,756
3,83,8,46,6942
9,40,1,18,6840
8,85,4,57,1166
8,47,3,34,1268
4,57,3,58,2013
10,54,1,24,3911
5,68,1,53,3728
2,39,7,46,4049
10,66,4,30,2466
4,76,5,39,601
2,90,2,52,3709
2,81,10,29,1723
5,90,2,28,6775
7,68,6,49,6535
2,42,2,50,3447
5,84,9,30,1586
8,83,10,36,6590
9,38,7,51,2198
9,69,3,18,2079
9,86,6,25,751
10,79,8,29,4520
5,49,10,48,1757
6,72,1,24,1965
2,72,10,23,6733
6,62,10,27,3921
6,61,9,43,7024
2,86,3,54,4086
3,43,7,20,3692
9,38,10,21,3843
9,69,6,16,4920
10,76,2,28,3623
4,58,4,56,755
9,51,10,46,3522
6,76,3,55,3063
7,56,2,54,610
8,65,9,27,1420
6,88,2,55,782
10,82,7,49,4718
7,79,5,47,1118
10,48,6,46,672
7,43,3,18,1992
8,55,1,59,3157
10,58,9,43,1295
5,65,9,60,1457
10,58,2,49,6696
4,43,7,59,5895
10,60,3,28,2476
7,69,2,25,718
4,57,1,54,6929
10,70,5,22,5660
2,82,1,23,1896
3,84,9,42,2341
7,74,5,35,5905
10,61,4,58,6498
6,69,4,33,723
8,63,2,25,1226
4,60,1,43,693
6,50,2,18,3931
4,56,6,57,5891
6,45,1,16,572
5,88,8,22,561
7,67,4,23,5953
10,45,2,21,3482
3,71,10,18,3257
6,89,4,46,6710
5,69,7,61,3913
6,46,8,30,3057
2,83,6,18,6087
9,47,1,27,6564
7,50,9,49,2894
3,87,2,25,5376
6,74,6,36,2569
4,89,1,50,2287
6,55,4,46,5193
9,81,3,35,922
7,78,4,54,3555
2,55,7,59,1751
4,61,4,21,1173
2,56,10,52,2448
10,42,3,55,3972
4,59,1,24,4536
3,74,1,38,2922
4,71,9,49,4144
6,89,9,34,2304
4,58,2,42,4340
