"","x"
"1853","3"
"1854","1"
"1855","1"
"1856","2"
"1857","4"
"1858","1"
"1859","3"
"1860","4"
"1861","1"
"1862","2"
"1863","1"
"1864","4"
"1865","1"
"1866","3"
"1867","4"
"1868","1"
"1869","4"
"1870","2"
"1871","4"
"1872","1"
"1873","1"
"1874","1"
"1875","4"
"1876","1"
"1877","1"
"1878","4"
"1879","1"
"1880","1"
"1881","4"
"1882","3"
"1883","2"
"1884","1"
"1885","4"
"1886","4"
"1887","1"
"1888","4"
"1889","4"
"1890","1"
"1891","4"
"1892","4"
"1893","4"
"1894","4"
"1895","1"
"1896","1"
"1897","3"
"1898","4"
"1899","4"
"1900","4"
"1901","1"
"1902","1"
"1903","4"
"1904","1"
"1905","4"
"1906","1"
"1907","1"
"1908","4"
"1909","4"
"1910","4"
"1911","1"
"1912","1"
"1913","4"
"1914","1"
"1915","2"
"1916","1"
"1917","1"
"1918","4"
"1919","4"
"1920","1"
"1921","2"
"1922","4"
"1923","4"
"1924","2"
"1925","4"
"1926","3"
"1927","4"
"1928","4"
"1929","4"
"1930","4"
"1931","4"
"1932","4"
"1933","4"
"1934","2"
"1935","1"
"1936","2"
"1937","4"
"1938","4"
"1939","4"
"1940","4"
"1941","1"
"1942","1"
"1943","4"
"1944","1"
"1945","1"
"1946","2"
"1947","1"
"1948","1"
"1949","2"
"1950","1"
"1951","4"
"1952","3"
"1953","4"
"1954","3"
"1955","4"
"1956","4"
"1957","1"
"1958","4"
"1959","1"
"1960","1"
"1961","4"
"1962","4"
"1963","1"
"1964","1"
"1965","4"
"1966","1"
"1967","4"
"1968","4"
"1969","1"
"1970","4"
"1971","4"
"1972","1"
"1973","4"
"1974","1"
"1975","1"
"1976","4"
"1977","1"
"1978","1"
"1979","4"
"1980","4"
"1981","4"
"1982","4"
"1983","1"
"1984","4"
"1985","1"
"1986","1"
"1987","4"
"1988","4"
"1989","4"
"1990","4"
"1991","2"
"1992","2"
"1993","2"
"1994","4"
"1995","4"
"1996","4"
"1997","4"
"1998","1"
"1999","4"
"2000","1"
"2001","4"
"2002","1"
"2003","4"
"2004","1"
"2005","4"
"2006","4"
"2007","2"
"2008","4"
"2009","4"
"2010","2"
"2011","2"
"2012","1"
"2013","4"
"2014","4"
"2015","1"
"2016","4"
"2017","4"
"2018","4"
"2019","4"
"2020","1"
"2021","4"
"2022","4"
"2023","1"
"2024","1"
"2025","4"
"2026","4"
"2027","1"
"2028","4"
"2029","1"
"2030","4"
"2031","3"
"2032","1"
"2033","1"
"2034","2"
"2035","4"
"2036","4"
"2037","1"
"2038","2"
"2039","4"
"2040","4"
"2041","4"
"2042","1"
"2043","4"
"2044","1"
"2045","3"
"2046","1"
"2047","4"
"2048","4"
"2049","1"
"2050","1"
"2051","4"
"2052","4"
"2053","4"
"2054","4"
"2055","1"
"2056","4"
"2057","1"
"2058","1"
"2059","1"
"2060","1"
"2061","1"
"2062","1"
"2063","4"
"2064","4"
"2065","4"
"2066","4"
"2067","4"
"2068","1"
"2069","4"
"2070","1"
"2071","4"
"2072","1"
"2073","1"
"2074","4"
"2075","4"
"2076","4"
"2077","4"
"2078","4"
"2079","1"
"2080","4"
"2081","1"
"2082","4"
"2083","4"
"2084","4"
"2085","1"
"2086","4"
"2087","1"
"2088","1"
"2089","3"
"2090","4"
"2091","4"
"2092","2"
"2093","4"
"2094","1"
"2095","4"
"2096","4"
"2097","4"
"2098","4"
"2099","1"
"2100","4"
"2101","1"
"2102","4"
"2103","4"
"2104","4"
"2105","1"
"2106","3"
"2107","1"
"2108","4"
"2109","1"
"2110","4"
"2111","1"
"2112","4"
"2113","2"
"2114","4"
"2115","4"
"2116","4"
"2117","3"
"2118","4"
"2119","4"
"2120","1"
"2121","4"
"2122","1"
"2123","1"
"2124","1"
"2125","4"
"2126","4"
"2127","3"
"2128","4"
"2129","4"
"2130","3"
"2131","1"
"2132","1"
"2133","2"
"2134","3"
"2135","4"
"2136","1"
"2137","2"
"2138","1"
"2139","1"
"2140","1"
"2141","1"
